"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
25.3807999999993,3.38210672870126,6.0997012536001E-05,-3.38216772571379
25.4007999999993,3.40203076713661,4.93289068436031E-05,-3.40208009604345
25.4207999999993,3.41828292132166,3.87017316759305E-05,-3.41832162305334
25.4407999999993,3.43099660949245,2.76891111894312E-05,-3.43102429860364
25.4607999999993,3.44398657075838,2.92035460422941E-05,-3.44401577430443
25.4807999999993,3.4590353285007,4.17300174025351E-05,-3.4590770585181
25.5007999999993,3.4778164466576,3.5147077950977E-05,-3.47785159373555
25.5207999999993,3.49901177885932,2.26326691844631E-05,-3.49903441152851
25.5407999999993,3.51575935616106,9.22220671047006E-06,-3.51576857836778
25.5607999999993,3.52947611880816,6.78969347210347E-06,-3.52948290850164
25.5807999999993,3.54597584969748,2.00960329117346E-05,-3.54599594573039
25.6007999999993,3.56260164396328,6.75432023434386E-06,-3.56260839828351
25.6207999999993,3.57737906564454,-5.27487006376623E-06,-3.57737379077448
25.6407999999993,3.58812512274452,-1.00172141353282E-05,-3.58811510553038
25.6607999999993,3.59689008491361,-8.72075994460508E-06,-3.59688136415367
25.6807999999993,3.60920363139974,-1.23135141547999E-06,-3.60920240004832
25.7007999999993,3.62188895249951,-3.86822341785332E-06,-3.6218850842761
25.7207999999993,3.63365399501079,-1.03794405208242E-05,-3.63364361557026
25.7407999999993,3.64496040576156,-2.48055652299944E-05,-3.64493560019633
25.7607999999993,3.65503797896996,-2.62940615797869E-05,-3.65501168490838
25.7807999999993,3.66467434301642,-1.55142903489621E-05,-3.66465882872607
25.8007999999993,3.67601116441291,-2.19184866485298E-05,-3.67598924592626
25.8207999999993,3.68535197817544,-3.27376398106891E-05,-3.68531924053563
25.8407999999993,3.69344172326929,-3.8872152154408E-05,-3.69340285111714
25.8607999999993,3.70006175157311,-3.93343937292076E-05,-3.70002241717938
25.8807999999993,3.70747748177525,-3.31269225906979E-05,-3.70744435485266
25.9007999999993,3.71687276912701,-3.37602322550401E-05,-3.71683900889475
25.9207999999993,3.72706990662378,-3.62384641332983E-05,-3.72703366815964
25.9407999999993,3.7380385712922,-4.85980849452061E-05,-3.73798997320726
25.9607999999993,3.74855815002701,-5.74500038937833E-05,-3.74850070002312
25.9807999999993,3.7565869550705,-3.9288111664429E-05,-3.75654766695884
26.0007999999993,3.77052041744681,-4.83860472490524E-05,-3.77047203139956
26.0207999999993,3.78388833666385,-6.34510288669379E-05,-3.78382488563498
26.0407999999993,3.79130624758407,-7.36905890231392E-05,-3.79123255699504
26.0607999999993,3.79661093009313,-7.3676527538182E-05,-3.79653725356559
26.0807999999993,3.8027538840299,-5.88597067141242E-05,-3.80269502432318
26.1007999999993,3.81072306058363,-5.93883475439575E-05,-3.81066367223608
26.1207999999993,3.82096885819075,-6.88470314805944E-05,-3.82090001115927
26.1407999999993,3.8303161070636,-8.18428565980896E-05,-3.83023426420701
26.1607999999993,3.83590664070823,-8.71047539821587E-05,-3.83581953595425
26.1807999999993,3.84091220621836,-7.09197301452471E-05,-3.84084128648822
26.2007999999993,3.84594717878777,-7.84873066783297E-05,-3.8458686914811
26.2207999999993,3.85099786171425,-8.72450433599224E-05,-3.85091061667089
26.2407999999993,3.8548784600591,-9.02234562517478E-05,-3.85478823660285
26.2607999999993,3.85511990689551,-9.06049789925136E-05,-3.85502930191651
26.2807999999993,3.85681514166085,-8.18510405373624E-05,-3.85673329062031
26.3007999999993,3.85893971210248,-8.04264316316112E-05,-3.85885928567085
26.3207999999993,3.86177936871099,-8.03378434162134E-05,-3.86169903086757
26.3407999999993,3.86712391855069,-8.62263070193357E-05,-3.86703769224367
26.3607999999993,3.87312653241576,-9.14575403177761E-05,-3.87303507487544
26.3807999999993,3.87569154524818,-7.87656349180699E-05,-3.87561277961326
26.4007999999993,3.88262956595652,-7.88536800199752E-05,-3.8825507122765
26.4207999999993,3.88982889092551,-8.57442787275671E-05,-3.88974314664678
26.4407999999993,3.8935992509779,-9.14866918232959E-05,-3.89350776428608
26.4607999999993,3.89527501622434,-9.25555992132037E-05,-3.89518246062512
26.4807999999993,3.89861041826005,-8.24214351250534E-05,-3.89852799682493
26.5007999999993,3.90315580794974,-7.8872717658908E-05,-3.90307693523208
26.5207999999993,3.91064542363114,-8.0657282072364E-05,-3.91056476634906
26.5407999999993,3.91959529812074,-8.9152423548244E-05,-3.91950614569719
26.5607999999993,3.92780096717692,-0.000100722902972669,-3.92770024427394
26.5807999999993,3.93369240728514,-8.02434272306234E-05,-3.93361216385791
26.6007999999993,3.94335043055533,-8.54931081516834E-05,-3.94326493744717
26.6207999999993,3.95419119582781,-9.68403742381727E-05,-3.95409435545357
26.6407999999992,3.96230463597982,-0.000100216785791466,-3.96220441919403
26.6607999999992,3.96833145342732,-0.000101968868335803,-3.96822948455898
26.6807999999992,3.97567503902345,-9.1186121226565E-05,-3.97558385290222
26.7007999999992,3.98544073953336,-8.88101451155046E-05,-3.98535192938825
26.7207999999992,3.9972573773816,-9.37020601578685E-05,-3.99716367532144
26.7407999999992,4.01034298118935,-0.000100988438938363,-4.01024199275042
26.7607999999992,4.02297744032831,-0.000106044548860905,-4.02287139577945
26.7807999999992,4.03536468145664,-9.41219020175563E-05,-4.03527055955463
26.8007999999992,4.04984689265956,-9.32753115665697E-05,-4.04975361734799
26.8207999999992,4.06479711641942,-0.00010496115868989,-4.06469215526073
26.8407999999992,4.08003601518598,-0.000112761846840737,-4.07992325333914
26.8607999999992,4.09438913481084,-0.000110313451105201,-4.09427882135973
26.8807999999992,4.10993609141045,-0.00010457135691204,-4.10983152005353
26.9007999999992,4.12756023166299,-0.000100528370431491,-4.12745970329255
26.9207999999992,4.14802016433928,-9.99894125597114E-05,-4.14792017492672
26.9407999999992,4.17060726458482,-0.000110638483418376,-4.1704966261014
26.9607999999992,4.19651946283335,-0.00012120682066764,-4.19639825601269
26.9807999999992,4.22002568001818,-0.000109927028484549,-4.21991575298969
27.0007999999992,4.24819118002546,-0.000109515945075174,-4.24808166408039
27.0207999999992,4.2807106461646,-0.000119879936518048,-4.28059076622808
27.0407999999992,4.31167195397494,-0.00013254504379153,-4.31153940893115
27.0607999999992,4.34244485597599,-0.000141084612392722,-4.34230377136359
27.0807999999992,4.37249144224156,-0.0001312690926252,-4.37236017314894
27.1007999999992,4.40443834362576,-0.00012822867814986,-4.40431011494761
27.1207999999992,4.44223341291039,-0.000135306000281451,-4.44209810691011
27.1407999999992,4.48357092263628,-0.00014682997511149,-4.48342409266117
27.1607999999992,4.52325264451487,-0.000162257265159958,-4.52309038724971
27.1807999999992,4.56115988116476,-0.000151919032382897,-4.56100796213237
27.2007999999992,4.6016283622135,-0.000153481775301014,-4.60147488043819
27.2207999999992,4.6449030537106,-0.000169861113320328,-4.64473319259728
27.2407999999992,4.68649089206736,-0.000179231337933961,-4.68631166072942
27.2607999999992,4.72511755707694,-0.000186004349535056,-4.72493155272741
27.2807999999992,4.76499177242257,-0.000179526774937616,-4.76481224564763
27.3007999999992,4.80702967763047,-0.000177576159201407,-4.80685210147127
27.3207999999992,4.85001773307257,-0.000183715676091072,-4.84983401739648
27.3407999999992,4.89480151880812,-0.000194532586380779,-4.89460698622174
27.3607999999992,4.94157647892102,-0.000205157172808466,-4.94137132174821
27.3671999999992,4.95643375559411,-0.000208853436237776,-4.95622490215787
27.3691999999992,4.96069470730563,-0.000197479402922633,-4.9604972279027
27.3711999999992,4.93027435817983,0.0204542972344397,-4.95072865541427
27.3911999999992,4.63039680670227,0.223597305029669,-4.85399411173194
27.4111999999992,4.34259193051625,0.417731168568858,-4.7603230990851
27.4311999999992,4.06732964592762,0.600252545560798,-4.66758219148841
27.4511999999992,3.80060657097552,0.772727163277565,-4.57333373425309
27.4711999999992,3.53773125796231,0.939425639084029,-4.47715689704634
27.4911999999992,3.27750029994044,1.10635334635155,-4.38385364629199
27.5111999999992,3.02324813427223,1.26876850260005,-4.29201663687228
27.5311999999992,2.77525290551081,1.42793553545422,-4.20318844096503
27.5511999999992,2.53954388195421,1.57806435504898,-4.11760823700319
27.5711999999992,2.3117910767285,1.72024602950884,-4.03203710623734
27.5911999999992,2.07628384978282,1.86647206697267,-3.94275591675548
27.6111999999992,1.85310714255408,2.00766699736697,-3.86077413992104
27.6311999999992,1.6411908434606,2.14105133934856,-3.78224218280916
27.6511999999992,1.43542819729485,2.26408579280416,-3.69951399009901
27.6711999999992,1.2316465364467,2.38212631695008,-3.61377285339678
27.6911999999992,1.02290851126598,2.50671165942572,-3.5296201706917
27.7111999999992,0.81955800049162,2.62796660471148,-3.4475246052031
27.7311999999992,0.625454421051241,2.744195580615,-3.36965000166624
27.7511999999992,0.441167303490016,2.85319304120022,-3.29436034469023
27.7711999999992,0.260321404928623,2.95557734573187,-3.21589875066049
27.7911999999992,0.0727600640834732,3.06387352943147,-3.13663359351494
27.7985999999992,0.00489468982172467,3.10284143839812,-3.10773612821985
27.8005999999992,-9.51722762942021E-06,3.10631585001201,-3.10630633278438
27.8205999999992,-8.8028842632172E-05,3.11300780309156,-3.11291977424893
27.8405999999992,-8.24941283008557E-05,3.1182222375434,-3.1181397434151
27.8605999999992,-8.2704953559031E-05,3.12069088713296,-3.12060818217941
27.8805999999992,-8.96074275021545E-05,3.12303483831178,-3.12294523088428
27.9005999999992,-9.42576337193668E-05,3.12798722184958,-3.12789296421586
27.9205999999992,-9.45738458295159E-05,3.13403142362476,-3.13393684977893
27.9405999999992,-9.08710732247114E-05,3.14035584748219,-3.14026497640897
27.9605999999992,-8.00158815882384E-05,3.14600089324376,-3.14592087736217
27.9805999999992,-8.7431386367731E-05,3.15088856556683,-3.15080113418046
28.0005999999992,-9.57131612457119E-05,3.15786249015376,-3.15776677699251
28.0205999999992,-8.85826695044664E-05,3.16779104862566,-3.16770246595615
28.0405999999992,-8.21407917554711E-05,3.17428483872638,-3.17420269793462
28.0605999999992,-7.91676224554401E-05,3.17645181792006,-3.17637265029761
28.0805999999992,-8.73153921323759E-05,3.17932417575025,-3.17923686035811
28.1005999999992,-9.4926734770485E-05,3.18501806841542,-3.18492314168065
28.1205999999992,-9.39359623782086E-05,3.19277919933382,-3.19268526337144
28.1405999999992,-8.82058173964391E-05,3.20230031303604,-3.20221210721865
28.1605999999992,-7.42383266233415E-05,3.20882729924505,-3.20875306091843
28.1805999999992,-8.09476351141114E-05,3.21414997073604,-3.21406902310092
28.2005999999992,-9.21160429448421E-05,3.22273080625814,-3.22263869021519
28.2205999999992,-7.72130633794017E-05,3.23177340394859,-3.23169619088522
28.2405999999992,-7.54465314578968E-05,3.23712890261697,-3.23705345608552
28.2605999999992,-7.26785377335916E-05,3.2398819911486,-3.23980931261086
28.2805999999992,-7.87680834623577E-05,3.24294677946484,-3.24286801138137
28.3005999999992,-8.68582855996231E-05,3.24945206215832,-3.24936520387272
28.3205999999992,-8.09977625007311E-05,3.25788827351858,-3.25780727575608
28.3405999999992,-7.64863016989643E-05,3.26575873270579,-3.26568224640409
28.3605999999992,-6.85623958138151E-05,3.27221766081262,-3.27214909841681
28.3805999999992,-7.37082986707876E-05,3.27792688020513,-3.27785317190646
28.4005999999992,-8.27568257150355E-05,3.28630641608668,-3.28622365926096
28.4205999999992,-7.51694077051335E-05,3.29447784893786,-3.29440267953016
28.4405999999992,-6.49921636085476E-05,3.30010182600808,-3.30003683384448
28.4605999999992,-6.30306388163143E-05,3.30533197076706,-3.30526894012824
28.4805999999992,-6.85265383912632E-05,3.31079382400184,-3.31072529746345
28.5005999999992,-7.3224238514779E-05,3.31940034154378,-3.31932711730527
28.5205999999992,-7.21142101615679E-05,3.33093898758867,-3.33086687337851
28.5405999999992,-6.71266259294258E-05,3.34343493322187,-3.34336780659594
28.5605999999992,-5.11955194138868E-05,3.35552891173773,-3.35547771621831
28.5805999999992,-5.0511825632386E-05,3.36844738680185,-3.36839687497622
28.6005999999992,-6.13530916826866E-05,3.38329026549015,-3.38322891239847
28.6205999999992,-4.94972640574407E-05,3.4026622232712,-3.40261272600714
28.6405999999992,-3.83739096453976E-05,3.41927074969723,-3.41923237578758
28.6605999999992,-2.71884154768982E-05,3.4325861244159,-3.43255893600043
28.6805999999992,-2.9685638044936E-05,3.44555830440362,-3.44552861876558
28.7005999999992,-4.14475011637956E-05,3.46072291395272,-3.46068146645156
28.7205999999992,-3.56078392609562E-05,3.47916561854308,-3.47913001070382
28.7405999999992,-2.30968512341691E-05,3.50010439939057,-3.50008130253933
28.7605999999992,-8.30300822166835E-06,3.51724978151519,-3.51724147850696
28.7805999999992,-6.55364454526306E-06,3.53127701195026,-3.53127045830572
28.8005999999992,-2.14183903161714E-05,3.54871642072786,-3.54869500233755
28.8205999999992,-7.41995321709438E-06,3.56637779742191,-3.56637037746869
28.8405999999992,6.83803743520139E-06,3.57987725854508,-3.57988409658252
28.8605999999992,1.10946246803136E-05,3.59000791183721,-3.59001900646189
28.8805999999992,8.62391197012827E-06,3.59922979691379,-3.59923842082576
28.9005999999992,1.02524679162406E-06,3.61105668117544,-3.61105770642223
28.9205999999992,2.80898454827124E-06,3.62437956271565,-3.6243823717002
28.9405999999992,1.08636225547497E-05,3.63633510804133,-3.63634597166388
28.9605999999992,2.53115193328637E-05,3.64710747614011,-3.64713278765944
28.9805999999992,2.6176423554661E-05,3.65703058891493,-3.65705676533848
29.0005999999992,1.4398020626118E-05,3.66649740479778,-3.66651180281841
29.0205999999992,2.07016677966011E-05,3.67783695342551,-3.67785765509331
29.0405999999991,3.31933935682922E-05,3.6881306164472,-3.68816380984077
29.0605999999991,4.10595513642E-05,3.69638633080033,-3.69642739035169
29.0805999999991,3.96025915128797E-05,3.70231137639495,-3.70235097898647
29.1005999999991,3.18551324043195E-05,3.70931434541519,-3.70934620054759
29.1205999999991,3.31155873386482E-05,3.71706657004624,-3.71709968563357
29.1405999999991,3.59635651074046E-05,3.72767321877065,-3.72770918233576
29.1605999999991,4.9996337563084E-05,3.73967502710528,-3.73972502344284
29.1805999999991,5.80583539203248E-05,3.75054976042798,-3.7506078187819
29.2005999999991,4.03933021947568E-05,3.75810279698768,-3.75814319028988
29.2205999999991,5.01867551153287E-05,3.77078293954408,-3.7708331262992
29.2405999999991,6.17201347204511E-05,3.78467773204021,-3.78473945217493
29.2605999999991,7.19877422060621E-05,3.79328677742083,-3.79335876516304
29.2805999999991,7.35339073720824E-05,3.79834638758139,-3.79841992148877
29.3005999999991,5.81092946406028E-05,3.80506833821041,-3.80512644750505
29.3205999999991,6.16383605112876E-05,3.8123345387175,-3.81239617707801
29.3405999999991,6.9466546586561E-05,3.82180202353506,-3.82187149008164
29.3605999999991,8.10243390871716E-05,3.83178946864494,-3.83187049298403
29.3805999999991,8.64921563756911E-05,3.83797531784475,-3.83806181000112
29.4005999999991,6.94766627791923E-05,3.84405766886371,-3.84412714552649
29.4205999999991,7.65944752420304E-05,3.85055291948223,-3.85062951395747
29.4405999999991,8.79532292822464E-05,3.85438203596544,-3.85446998919472
29.4605999999991,9.24826359196136E-05,3.8572399659793,-3.85733244861522
29.4805999999991,9.04493566985382E-05,3.85805493172733,-3.85814538108403
29.5005999999991,8.20609201190825E-05,3.85913380793403,-3.85921586885414
29.5205999999991,7.92949026962293E-05,3.8622342401,-3.86231353500269
29.5405999999991,7.91478349299892E-05,3.86599464664199,-3.86607379447692
29.5605999999991,8.80729014518964E-05,3.86989653577901,-3.86998460868046
29.5805999999991,9.21267925861785E-05,3.87518308481157,-3.87527521160416
29.6005999999991,7.79822654045385E-05,3.87748833796466,-3.87756632023007
29.6205999999991,7.87701748508602E-05,3.88424068165667,-3.88431945183152
29.6405999999991,8.55357000730693E-05,3.89123266890195,-3.89131820460202
29.6605999999991,9.18631240282587E-05,3.89534377567826,-3.89543563880229
29.6805999999991,9.27197389716979E-05,3.89734042548555,-3.89743314522452
29.7005999999991,8.1754837723736E-05,3.9006250756342,-3.90070683047193
29.7205999999991,8.02417682628217E-05,3.90558615807658,-3.90566639984485
29.7405999999991,8.1403779610393E-05,3.91306257001724,-3.91314397379685
29.7605999999991,8.9011005468116E-05,3.92158216213838,-3.92167117314385
29.7805999999991,0.000100319486711535,3.92957048186851,-3.92967080135522
29.8005999999991,8.04495934917121E-05,3.93544408516122,-3.93552453475471
29.8205999999991,8.6668399612171E-05,3.94479769098042,-3.94488435938004
29.8405999999991,9.67904587529945E-05,3.95566935317399,-3.95576614363275
29.8605999999991,9.9339333880837E-05,3.96419176435478,-3.96429110368866
29.8805999999991,0.000101854472384195,3.97024658265104,-3.97034843712342
29.9005999999991,8.9684966547506E-05,3.97774998962656,-3.9778396745931
29.9205999999991,8.95087744091813E-05,3.98732857567168,-3.98741808444609
29.9405999999991,9.45642355151913E-05,3.99880160055957,-3.99889616479508
29.9605999999991,0.000100816832025761,4.01209931812849,-4.01220013496051
29.9805999999991,0.000105827364666958,4.02498478220732,-4.02509060957199
30.0005999999991,9.35034848163131E-05,4.03704685638844,-4.03714035987326
30.0205999999991,9.31783638358724E-05,4.05120328591802,-4.05129646428186
30.0405999999991,0.000104784807579779,4.06640561981329,-4.06651040462087
30.0605999999991,0.000113571326089401,4.08215537983548,-4.08226895116157
30.0805999999991,0.000110479742953882,4.09587591460479,-4.09598639434775
30.1005999999991,0.000103046173955178,4.11151135851427,-4.11161440468823
30.1205999999991,0.000100770593534813,4.12906061173692,-4.12916138233045
30.1405999999991,0.000100302320421049,4.14887210070107,-4.14897240302149
30.1605999999991,0.000111154952087948,4.17188270456107,-4.17199385951316
30.1805999999991,0.000121502554787057,4.19826577509154,-4.19838727764633
